auc,accuracy,precision,recall,f1,val_loss
0.5069444444444444,0.5,0.5,0.5416666666666666,0.52,0.878836582104365
0.5529411764705883,0.6808510638297872,0.7027027027027027,0.8666666666666667,0.7761194029850746,0.8349751300634222
0.7119565217391305,0.6170212765957447,0.5833333333333334,0.875,0.7,0.7316602646036351
0.6017316017316017,0.5106382978723404,0.75,0.45454545454545453,0.5660377358490566,0.6952425247811257
0.5732600732600732,0.574468085106383,0.625,0.5769230769230769,0.6,0.7009847119767615
0.5800865800865801,0.46808510638297873,0.7,0.42424242424242425,0.5283018867924528,0.6868927681699712
0.5555555555555556,0.5106382978723404,0.6,0.4444444444444444,0.5106382978723404,0.7181748570279872
0.7662835249042146,0.7021276595744681,0.6829268292682927,0.9655172413793104,0.8,0.6143138465729165
0.7056277056277056,0.7021276595744681,0.8064516129032258,0.7575757575757576,0.78125,0.5410008075389456
0.7049808429118773,0.6382978723404256,0.7,0.7241379310344828,0.711864406779661,0.6219067846206908
